Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,
2010-06-15,7.851908206939697,2.733560562133789,,9.274642944335938,2.9800000190734863,,9.280357360839844,2.994999885559082,,9.125,2.867500066757202,,9.130000114440918,2.872499942779541,,585074000,52863200,
2010-06-16,8.080490112304688,2.6991612911224365,,9.54464340209961,2.942500114440918,,9.5625,2.987499952316284,,9.30821418762207,2.9024999141693115,,9.324999809265137,2.9600000381469727,,783678000,36648000,
2010-06-17,8.22018051147461,2.802358865737915,,9.709643363952637,3.055000066757202,,9.746429443359375,3.0625,,9.625,2.940000057220459,,9.664285659790039,3.0450000762939453,,872855200,85906800,
2010-06-18,8.286698341369629,2.820704460144043,,9.788213729858398,3.075000047683716,,9.821429252624512,3.112499952316284,,9.693571090698242,3.049999952316284,,9.723214149475098,3.072499990463257,,784621600,93283200,
2010-06-21,8.16877555847168,2.754199504852295,,9.64892864227295,3.002500057220459,,9.964642524719238,3.1475000381469727,,9.59749984741211,2.9749999046325684,,9.917499542236328,3.140000104904175,,776490400,57983600,
2010-06-22,8.280045509338379,2.651003122329712,,9.780357360839844,2.890000104904175,,9.856071472167969,3.077500104904175,,9.696429252624512,2.875,,9.720000267028809,3.0399999618530273,,717262000,81816400,
2010-06-23,8.192968368530273,2.6808159351348877,,9.677499771118164,2.922499895095825,,9.809286117553711,2.952500104904175,,9.567856788635254,2.8350000381469727,,9.806428909301758,2.9175000190734863,,768457200,61406000,
2010-06-24,8.133402824401855,2.547807216644287,,9.60714340209961,2.7774999141693115,,9.757143020629883,2.9200000762939453,,9.574999809265137,2.7674999237060547,,9.678570747375488,2.9049999713897705,,714277200,72502800,
2010-06-25,8.063859939575195,2.540926694869995,,9.524999618530273,2.7699999809265137,,9.65250015258789,2.799999952316284,,9.493213653564453,2.7249999046325684,,9.645000457763672,2.797499895095825,,549942400,50722000,
2010-06-28,8.112236022949219,2.545513391494751,,9.58214282989502,2.7750000953674316,,9.633929252624512,2.815000057220459,,9.447142601013184,2.7249999046325684,,9.53321361541748,2.7899999618530273,,584948000,37200800,
2010-06-29,7.745478630065918,2.4033315181732178,1.5926669836044312,9.14892864227295,2.619999885559082,1.5926669836044312,9.442500114440918,2.7174999713897705,1.6666669845581055,9.08214282989502,2.6024999618530273,1.1693329811096191,9.432856559753418,2.7149999141693115,1.2666670083999634,1133344800,66080800,281494500.0
2010-06-30,7.6051836013793945,2.3414127826690674,1.5886670351028442,8.983214378356934,2.552500009536743,1.5886670351028442,9.213213920593262,2.6524999141693115,2.0280001163482666,8.928929328918457,2.552500009536743,1.553333044052124,9.168213844299316,2.625,1.7193330526351929,739452000,62307200,257806500.0
2010-07-01,7.512963771820068,2.380399465560913,1.4639999866485596,8.874285697937012,2.5950000286102295,1.4639999866485596,9.100000381469727,2.612499952316284,1.7280000448226929,8.686429023742676,2.4825000762939453,1.3513330221176147,9.08214282989502,2.559999942779541,1.6666669845581055,1022896000,73700800,123282000.0
2010-07-02,7.466403484344482,2.350586414337158,1.2799999713897705,8.819286346435547,2.5625,1.2799999713897705,8.961786270141602,2.609999895095825,1.5399999618530273,8.685713768005371,2.4749999046325684,1.24733304977417,8.946070671081543,2.6050000190734863,1.5333329439163208,693842800,73709600,77097000.0
